Mouse,(N=5),F,0.03,1.5,Experiment,at,Georgia,Tech,,
Bat,F,0.03,0.32,K.,Breuer,and,S.,Swartz,,Brown,University
Rat,(N=5),F,0.2,0.1,Experiment,at,Georgia,Tech,,
Applehead,Chihuahua,M,3,4,Experiment,at,local,park,,
Cat,F,5,18,Youtube,,Mattern,-2000,,,,
Goat,F,18,8,Experiment,at,Zoo,Atlanta,,,
Goat,M,67.8,9,Experiment,at,Zoo,Atlanta,,,
Great,Dane,M,71,24,Youtube,,Wilcox,-1997,,,
Great,Dane,M,71,17,Youtube,,Wilcox,-1997,,,
Great,Dane,M,71,17,Youtube,,Wilcox,-1997,,,
Jaguar,F,76,15,Youtube,,Wilson,-2001,,,,
Gorilla,F,100,20,Youtube,,Miller,-1997,,,,
Panda,F,125,11,Youtube,,Brown,-1996,,,,
Donkey,M,140,8,Youtube,,Starkey,-1992,,,,
Lion,M,200,36,Youtube,,Nowak,-1999,,,,
Tapir,F,318,9,Youtube,,Lynette,-2013,,,,
Tapir,M,318,59,Youtube,,Lynette,-2013,,,,
Elk,M,331,46,Youtube,,Linnaeus,-1758,,,,
Zebra,M,430,8,Youtube,,Kingdon,-1988,,,,
White,horse,F,470,10,Youtube,,Marvin,-1992,,,
Horse,M,470,17,Youtube,,Marvin,-1992,,,,
Race,Horse,M,600,27,Youtube,,Marvin,-1992,,,
Horse,M,850,19,Youtube,,Bongianni,-1988,,,,
Bison,M,907,20,Youtube,,Potts,-1997,,,,
Indian,Rhinoceros,M,2150,20,Youtube,,Toon,-2002,,,
Rhino,F,2200,49,Youtube,,Toon,-2002,,,,
Rhino,F,2200,12,Youtube,,Toon,-2002,,,,
Rhino,M,2200,17,Youtube,,Toon,-2002,,,,
Elephant,F,3538,28,Experiment,at,Zoo,Atlanta,,,
Elephant,F,5000,17,Youtube,,Shoshani,-1982,,,,
Elephant,F,5000,17,Youtube,,Shoshani,-1982,,,,
Elephant,F,5000,15,Youtube,,Shoshani,-1982,,,,
Elephant,M,8000,35,Youtube,,Shoshani,-1982,,,,
Elephant,M,8000,29,Youtube,,Shoshani,-1982,,,,
Elephant,M,8000,22,Youtube,,Shoshani,-1982,,,,
