Rat,1,F,0.24,1.11,Experiment,at,Georgia,Tech,,,,,
Rat,5,F,0.25,2.39,Experiment,at,Georgia,Tech,,,,,
Rat,3,F,0.26,0.38,Experiment,at,Georgia,Tech,,,,,
Rat,4,F,0.27,1.43,Experiment,at,Georgia,Tech,,,,,
Rat,2,F,0.29,0.67,Experiment,at,Georgia,Tech,,,,,
Cat,(N=4),F,3.5,2.4,Walter,-2005,,,,,,,
Woman,(3-4,years),F,16.6,8.42,Segura,"(1997),",Ogden,-2004,,,,
Woman,(5-6,years),F,21.46,9.43,Segura,"(1997),",Ogden,-2004,,,,
Woman,(7-8,years),F,28.81,10.26,Segura,"(1997),",Ogden,-2004,,,,
Woman,(9-11,years),F,41.28,13.49,Segura,"(1997),",Ogden,-2004,,,,
Woman,(12-14,years),F,56.57,14.79,Segura,"(1997),",Ogden,-2004,,,,
Dog,F,18.14,17.07,Experiment,at,local,park,,,,,,
Woman,(59,years),(N,=,183),F,76.9,9.4,Madersbacher,-1998,",",Ogden,-2004
Woman,(55,years),(N,=,185),F,76.9,20.1,Nitti,-1999,",",Ogden,-2004
Cow,F,635,450,L.,"Ely,",University,of,Georgia,,,,,
L.,"Ely,",University,of,Georgia,,,,,,,,,
Cow,F,635,453,Wister,Rat,(N=2),M,0.45,0.15,Van,-1995,,
Sprague,Dawley,Rat,(N=18),M,0.54,0.13,Schmidt,-2003,,,,,
Dunkin,Hartley,Guinea,Pig,(N=4),M,0.94,0.27,Van,-1995,,,,
Applehead,Chihuahua,M,3.45,1.04,Experiment,at,local,park,,,,,
Man,(3-4,years),M,17.1,7.9,Segura,"(1997),",Ogden,-2004,,,,
Man,(5-6,years),M,22.5,8.43,Segura,"(1997),",Ogden,-2004,,,,
Man,(7-8,years),M,30.1,9.3,Segura,"(1997),",Ogden,-2004,,,,
Man,(9-11,years),M,39.5,10.1,Segura,"(1997),",Ogden,-2004,,,,
Man,(12-14,years),M,55.8,12.76,Segura,"(1997),",Ogden,-2004,,,,
Nigerian,Dwarf,Goat,M,37.8,3.11,Experiment,at,Zoo,Atlanta,,,,
Nubian,Goat,M,71,6.25,Experiment,at,Zoo,Atlanta,,,,,
Japanese,Man,(N=271),M,63.3,16.7,Masumori,-1996,,,,,,
Man,(N=17),M,75.7,24.4,Schmidt,"(2003),",Schmidt,-2002,,,,,
American,Man,(N=467),M,87.6,19.8,Masumor,-1996,,,,,,
Man,(53.8,years),(N=58),M,88.8,17.6,Folkestad,"(2004),",Ogden,-2004,,,
